asin	fnsku	product_name	fulfillment_center	country_code	longest_side	median_side	shortest_side	measurement_units	weight	weight_units	item_volume	volume_units	product_size_tier	average_quantity_on_hand	average_quantity_pending_removal	estimated_total_item_volume	month_of_charge	storage_utilization_ratio	storage_utilization_ratio_units	base_rate	utilization_surcharge_rate	avg_qty_for_sus	est_vol_for_sus	est_base_msf	est_sus	currency	estimated_monthly_storage_fee	dangerous_goods_storage_type	eligible_for_inventory_discount	qualifies_for_inventory_discount	total_incentive_fee_amount	breakdown_incentive_fee_amount	average_quantity_customer_orders
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	HGR5	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	12.9	0.0	0.0699	2025-01	5.9	weeks	0.78	0.0	6.45	0.0349	0.05	0.0	USD	0.05	--	N	N	0.0	--	0.0
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	HOU2	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	17.48	0.0	0.0905	2025-01	5.9	weeks	0.78	0.0	13.0	0.0704	0.07	0.0	USD	0.07	--	N	N	0.0	--	0.77
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	HOU3	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	2.32	1.29	0.0056	2025-01	5.9	weeks	0.78	0.0	1.03	0.0056	0.0	0.0	USD	0.0	--	N	N	0.0	--	0.0
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	HOU6	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	0.16	0.0	3.0E-4	2025-01	5.9	weeks	0.78	0.0	0.03	2.0E-4	0.0	0.0	USD	0.0	--	N	N	0.0	--	0.1
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	IAH1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	0.19	0.0	0.001	2025-01	5.9	weeks	0.78	0.0	0.19	0.001	0.0	0.0	USD	0.0	--	N	N	0.0	--	0.0
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	IAH1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	1.03	0.13	0.0049	2025-01	5.9	weeks	0.78	0.0	0.9	0.0049	0.0	0.0	USD	0.0	--	N	N	0.0	--	0.0
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	IGQ1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	1.77	0.0	0.0087	2025-01	5.9	weeks	0.78	0.0	1.16	0.0063	0.01	0.0	USD	0.01	--	N	N	0.0	--	0.16
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	IND1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	0.32	0.0	7.0E-4	2025-01	5.9	weeks	0.78	0.0	0.13	7.0E-4	0.0	0.0	USD	0.0	--	N	N	0.0	--	0.19
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	IND8	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	1.23	0.58	0.0035	2025-01	5.9	weeks	0.78	0.0	0.65	0.0035	0.0054	0.0	USD	0.0054	--	N	N	0.0	--	0.0
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	IND8	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	0.84	0.29	0.003	2025-01	5.9	weeks	0.78	0.0	0.55	0.003	0.0046	0.0	USD	0.0046	--	N	N	0.0	--	0.0
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	JAN1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	10.52	0.0	0.0543	2025-01	5.9	weeks	0.78	0.0	9.19	0.0498	0.04	0.0	USD	0.04	--	N	N	0.0	--	0.48
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	JAX2	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	1.0	0.0	0.0054	2025-01	5.9	weeks	0.78	0.0	1.0	0.0054	0.0044	0.0	USD	0.0044	--	N	N	0.0	--	0.0
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	JAX2	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	22.23	0.0	0.1175	2025-01	5.9	weeks	0.78	0.0	21.71	0.1175	0.0956	0.0	USD	0.0956	--	N	N	0.0	--	0.52
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	JAX7	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	1.65	0.0	0.0087	2025-01	5.9	weeks	0.78	0.0	1.61	0.0087	0.01	0.0	USD	0.01	--	N	N	0.0	--	0.03
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	JFK8	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	23.61	0.0	0.1252	2025-01	5.9	weeks	0.78	0.0	20.23	0.1095	0.1	0.0	USD	0.1	--	N	N	0.0	--	0.48
